task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 267  1468505896.31485295  1468505896.31521511  0.00036216
 268  1468505896.31529593  1468505896.31566191  0.00036597
 269  1468505896.31574392  1468505896.31610703  0.00036311
 270  1468505896.31618905  1468505896.31655192  0.00036287
 271  1468505896.31663489  1468505896.31699896  0.00036407
 272  1468505896.31708097  1468505896.31744289  0.00036192
 273  1468505896.31752491  1468505896.31788993  0.00036502
 274  1468505896.31797290  1468505896.31833696  0.00036407
 275  1468505896.31841993  1468505896.31878090  0.00036097
 276  1468505896.31886292  1468505896.31922507  0.00036216
 277  1468505896.31930804  1468505896.31967092  0.00036287
 278  1468505896.31975389  1468505896.32011604  0.00036216
 279  1468505896.32019901  1468505896.32056499  0.00036597
 280  1468505896.32064795  1468505896.32101202  0.00036407
 281  1468505896.32109499  1468505896.32145691  0.00036192
 282  1468505896.32153893  1468505896.32190204  0.00036311
 283  1468505896.32198405  1468505896.32234693  0.00036287
 284  1468505896.32242990  1468505896.32279205  0.00036216
 285  1468505896.32287502  1468505896.32323790  0.00036287
 286  1468505896.32332110  1468505896.32368493  0.00036383
 287  1468505896.32376909  1468505896.32413197  0.00036287
 288  1468505896.32421494  1468505896.32457709  0.00036216
 289  1468505896.32465911  1468505896.32502103  0.00036192
 290  1468505896.32510400  1468505896.32546711  0.00036311
 291  1468505896.32554889  1468505896.32591510  0.00036621
 292  1468505896.32599902  1468505896.32636309  0.00036407
 293  1468505896.32644606  1468505896.32680798  0.00036192
 294  1468505896.32688999  1468505896.32725096  0.00036097
 295  1468505896.32733488  1468505896.32769799  0.00036311
 296  1468505896.32778001  1468505896.32814193  0.00036192
 297  1468505896.32822490  1468505896.32858706  0.00036216
 298  1468505896.32867002  1468505896.32903194  0.00036192
 299  1468505896.32911396  1468505896.32947707  0.00036311
 300  1468505896.32955909  1468505896.32992101  0.00036192
 301  1468505896.33000302  1468505896.33038807  0.00038505
 302  1468505896.33047104  1468505896.33083296  0.00036192
 303  1468505896.33091688  1468505896.33127999  0.00036311
 304  1468505896.33136296  1468505896.33172798  0.00036502
 305  1468505896.33181095  1468505896.33217597  0.00036502
 306  1468505896.33225799  1468505896.33261991  0.00036192
