task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 206  1468506024.15173197  1468506024.15208507  0.00035310
 207  1468506024.15216708  1468506024.15251994  0.00035286
 208  1468506024.15260005  1468506024.15295410  0.00035405
 209  1468506024.15303612  1468506024.15338612  0.00035000
 210  1468506024.15346599  1468506024.15381908  0.00035310
 211  1468506024.15389895  1468506024.15425110  0.00035214
 212  1468506024.15433311  1468506024.15468693  0.00035381
 213  1468506024.15476704  1468506024.15511894  0.00035191
 214  1468506024.15520000  1468506024.15556788  0.00036788
 215  1468506024.15564895  1468506024.15600204  0.00035310
 216  1468506024.15608311  1468506024.15643597  0.00035286
 217  1468506024.15651798  1468506024.15686893  0.00035095
 218  1468506024.15694904  1468506024.15730000  0.00035095
 219  1468506024.15738106  1468506024.15773296  0.00035191
 220  1468506024.15781498  1468506024.15816808  0.00035310
 221  1468506024.15824795  1468506024.15860009  0.00035214
 222  1468506024.15867996  1468506024.15903211  0.00035214
 223  1468506024.15911198  1468506024.15946603  0.00035405
 224  1468506024.15954709  1468506024.15989995  0.00035286
 225  1468506024.15998101  1468506024.16035390  0.00037289
 226  1468506024.16043901  1468506024.16079593  0.00035691
 227  1468506024.16087890  1468506024.16123605  0.00035715
 228  1468506024.16131592  1468506024.16166902  0.00035310
 229  1468506024.16175008  1468506024.16210294  0.00035286
 230  1468506024.16218400  1468506024.16253591  0.00035191
 231  1468506024.16261697  1468506024.16297197  0.00035501
 232  1468506024.16305208  1468506024.16340494  0.00035286
 233  1468506024.16348505  1468506024.16383600  0.00035095
 234  1468506024.16391706  1468506024.16426897  0.00035191
 235  1468506024.16434908  1468506024.16470194  0.00035286
 236  1468506024.16478205  1468506024.16513491  0.00035286
 237  1468506024.16521597  1468506024.16557503  0.00035906
 238  1468506024.16565490  1468506024.16600895  0.00035405
 239  1468506024.16609001  1468506024.16644192  0.00035191
 240  1468506024.16652298  1468506024.16687703  0.00035405
 241  1468506024.16695690  1468506024.16730905  0.00035214
 242  1468506024.16738892  1468506024.16774297  0.00035405
 243  1468506024.16782403  1468506024.16817689  0.00035286
 244  1468506024.16825795  1468506024.16861010  0.00035214
 245  1468506024.16868901  1468506024.16904092  0.00035191
 246  1468506024.16912103  1468506024.16947389  0.00035286
 247  1468506024.16955400  1468506024.16990805  0.00035405
 248  1468506024.16998911  1468506024.17034602  0.00035691
 249  1468506024.17042708  1468506024.17077899  0.00035191
 250  1468506024.17086005  1468506024.17121410  0.00035405
