task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 237  1468506049.13380408  1468506049.13381410  0.00001001
 238  1468506049.13388109  1468506049.13389206  0.00001097
 239  1468506049.13395905  1468506049.13397288  0.00001383
 240  1468506049.13404012  1468506049.13404989  0.00000978
 241  1468506049.13411808  1468506049.13412905  0.00001097
 242  1468506049.13419604  1468506049.13420606  0.00001001
 243  1468506049.13427305  1468506049.13428402  0.00001097
 244  1468506049.13435102  1468506049.13436103  0.00001001
 245  1468506049.13442898  1468506049.13443899  0.00001001
 246  1468506049.13450599  1468506049.13451695  0.00001097
 247  1468506049.13458490  1468506049.13459492  0.00001001
 248  1468506049.13466096  1468506049.13467193  0.00001097
 249  1468506049.13473892  1468506049.13474989  0.00001097
 250  1468506049.13481688  1468506049.13482690  0.00001001
 251  1468506049.13489389  1468506049.13490510  0.00001121
 252  1468506049.13497090  1468506049.13498211  0.00001121
 253  1468506049.13505006  1468506049.13506007  0.00001001
 254  1468506049.13512707  1468506049.13513708  0.00001001
 255  1468506049.13520503  1468506049.13521600  0.00001097
 256  1468506049.13528299  1468506049.13529396  0.00001097
 257  1468506049.13536096  1468506049.13537192  0.00001097
 258  1468506049.13543892  1468506049.13544893  0.00001001
 259  1468506049.13551688  1468506049.13552690  0.00001001
 260  1468506049.13559389  1468506049.13560390  0.00001001
 261  1468506049.13567090  1468506049.13568091  0.00001001
 262  1468506049.13574791  1468506049.13575912  0.00001121
 263  1468506049.13582706  1468506049.13583708  0.00001001
 264  1468506049.13590503  1468506049.13591504  0.00001001
 265  1468506049.13598299  1468506049.13599300  0.00001001
 266  1468506049.13606000  1468506049.13607001  0.00001001
 267  1468506049.13613605  1468506049.13614702  0.00001097
 268  1468506049.13621211  1468506049.13622308  0.00001097
 269  1468506049.13628888  1468506049.13629889  0.00001001
 270  1468506049.13636494  1468506049.13637590  0.00001097
 271  1468506049.13644290  1468506049.13645411  0.00001121
 272  1468506049.13652110  1468506049.13653207  0.00001097
 273  1468506049.13659811  1468506049.13660908  0.00001097
 274  1468506049.13667607  1468506049.13668609  0.00001001
 275  1468506049.13675308  1468506049.13676310  0.00001001
 276  1468506049.13683105  1468506049.13684201  0.00001097
 277  1468506049.13690805  1468506049.13691902  0.00001097
 278  1468506049.13698697  1468506049.13699794  0.00001097
 279  1468506049.13709402  1468506049.13710403  0.00001001
 280  1468506049.13717198  1468506049.13720989  0.00003791
 281  1468506049.13728094  1468506049.13729310  0.00001216
 282  1468506049.13736010  1468506049.13737106  0.00001097
 283  1468506049.13743711  1468506049.13744807  0.00001097
 284  1468506049.13751507  1468506049.13752604  0.00001097
 285  1468506049.13759303  1468506049.13760304  0.00001001
 286  1468506049.13766909  1468506049.13767910  0.00001001
 287  1468506049.13774705  1468506049.13775706  0.00001001
 288  1468506049.13784909  1468506049.13786006  0.00001097
 289  1468506049.13792801  1468506049.13793898  0.00001097
 290  1468506049.13800693  1468506049.13801694  0.00001001
 291  1468506049.13808608  1468506049.13809609  0.00001001
 292  1468506049.13816404  1468506049.13817406  0.00001001
 293  1468506049.13824105  1468506049.13825107  0.00001001
 294  1468506049.13831806  1468506049.13832808  0.00001001
